Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Pérez A., Martínez P., Rodríguez del Bosque I.","The development of a stakeholder-based scale for measuring corporate social responsibility in the banking industry",2013,"Service Business","7","3",,"459","481",,9,10.1007/s11628-012-0171-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881049313&partnerID=40&md5=0cdfaa150e2e557966f27b2d0a53b6a2","Área de Comercialización e Investigación de Mercados, University of Cantabria, Avda. los Castros s/n, 39005 Santander, Cantabria, Spain","Pérez A., Área de Comercialización e Investigación de Mercados, University of Cantabria, Avda. los Castros s/n, 39005 Santander, Cantabria, Spain; Martínez P., Área de Comercialización e Investigación de Mercados, University of Cantabria, Avda. los Castros s/n, 39005 Santander, Cantabria, Spain; Rodríguez del Bosque I., Área de Comercialización e Investigación de Mercados, University of Cantabria, Avda. los Castros s/n, 39005 Santander, Cantabria, Spain","Research on corporate social responsibility (CSR) has notably increased in recent years and many scales for measuring CSR image have been developed in academic literature. Due to the contextual character recognized in the implementation of CSR strategies, in this paper a new scale based on stakeholder theory is developed to evaluate customers' perception regarding the CSR performance of their banking service providers. The proposal of reliable measurement tools for evaluating customers' perception is especially relevant for companies because of their significant role in influencing the design and implementation of corporate strategies. Results demonstrate the reliability and validity of this new scale in two different samples. In the banking industry, CSR includes corporate responsibilities toward customers, shareholders, employees, society, and all legal and ethical requirements of banking institutions. Nevertheless, different kinds of banking institutions have specific CSR images, which reveal different strategic approaches to CSR. © 2012 Springer-Verlag Berlin Heidelberg.","Banking industry; Corporate image; Corporate social responsibility; Scale development",,"Pérez, A.; Área de Comercialización e Investigación de Mercados, University of Cantabria, Avda. los Castros s/n, 39005 Santander, Cantabria, Spain; email: perezran@unican.es",,,18628516,,,,"English","Serv. Bus.",Article,Scopus,2-s2.0-84881049313
"Jia M., Zhang Z.","Managerial ownership and corporate social performance: Evidence from privately owned chinese firms' response to the sichuan earthquake",2013,"Corporate Social Responsibility and Environmental Management","20","5",,"257","274",,3,10.1002/csr.1289,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883747546&partnerID=40&md5=04cdecf3eb903765535146901a48aa66","Northwestern Polytechnical University, Xi'an, China; Xi'an Jiaotong University, Xi'an, China","Jia M., Northwestern Polytechnical University, Xi'an, China; Zhang Z., Xi'an Jiaotong University, Xi'an, China","This study seeks to understand the underlying relationship between managerial ownership and corporate social performance in privately owned Chinese firms. Agency theory predicts that corporate expenditure on social practices is merely a managerial expropriation in an ordinary business setting. However, the business context of natural disasters in China has been characterized by stakeholder pressure on corporate responsibility. We propose that in our context of study, corporate social performance constitutes an investment and managers who own significant parts of the company are more likely to promote corporate philanthropic actions. Using a hand-collected database that includes firm-level data on corporate contributions after the Sichuan Earthquake on 12 May 2008, we find that higher managerial ownership is associated with a significantly higher probability of donation and charity. Furthermore, we find that corporate board size and political ties with the government moderate this relationship. © 2012 John Wiley & Sons, Ltd and ERP Environment.","Board size; Corporate donation; Corporate investment; Managerial expropriation; Political ties",,"Zhang, Z.; Xi'an Jiaotong University, No. 28, Xianning West Road, Xi'an 710049, China; email: mingazhe@yahoo.com.cn",,,15353958,,,,"English","Corp. Soc. Responsib. Environ. Manage.",Article,Scopus,2-s2.0-84883747546
"Barone E., Ranamagar N., Solomon J.F.","A Habermasian model of stakeholder (non)engagement and corporate (ir)responsibility reporting",2013,"Accounting Forum","37","3",,"163","181",,2,10.1016/j.accfor.2012.12.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880143177&partnerID=40&md5=8d0a1c56900f0afe77412b4334c74a6e","Henley Business School, United Kingdom; Deloitte LLP, London, United Kingdom","Barone E., Henley Business School, United Kingdom; Ranamagar N., Deloitte LLP, London, United Kingdom; Solomon J.F., Henley Business School, United Kingdom","Inspired by Habermas' works, we develop a prescriptive conceptual model of stakeholder engagement and corporate social responsibility (CSR) reporting against which empirical descriptions can be compared and contrasted. We compare the high profile case of Kraft's takeover of Cadbury with the conceptual model to illustrate the gap between an ideal speech situation and practice. The paper conducts a desk study of documents relating to the takeover and interviews with stakeholders from the local community to gauge their views of stakeholder engagement and CSR reporting by Cadbury/Kraft. The findings lead to policy recommendations for enhancing stakeholder accountability through improved steering mechanisms. © 2013 Elsevier Ltd.","Accountability; Corporate social responsibility (CSR) reporting; Counterfactual; Habermas; Lifeworld; Stakeholder engagement",,"Solomon, J.F.; Henley Business School, Henley-on-Thames, Oxfordshire RG9 2AU, United Kingdom; email: J.F.Solomon@henley.reading.ac.uk",,,01559982,,,,"English","Account. Forum",Article,Scopus,2-s2.0-84880143177
"Gottschalk P.","Limits to corporate social responsibility: The case of gjensidige insurance company and hells angels motorcycle club",2013,"Corporate Reputation Review","16","3",,"177","186",,1,10.1057/crr.2013.11,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880914756&partnerID=40&md5=b15ba31456f1e76930b76a7cb389a580","BI Norwegian Business School, Oslo, Norway","Gottschalk P., BI Norwegian Business School, Oslo, Norway","The purpose of this paper is to explore the limits to corporate social responsibility (CSR) by presenting and discussing the case of Gjensidige Insurance Company and its efforts to contribute to organized crime prevention. On the basis of a stage model for CSR, this paper argues that the Gjensidige case might be found at the most advanced maturity level, which is the contribution stage of proactive involvement in society. At this final maturity level, corporate executives as well as all other organizational members perceive their business as part of a greater course in society. They take on a comprehensive and active responsibility in the local as well as global society, and they look for opportunities in society where the company can make a difference. © 2013 Macmillan Publishers Ltd.","Case study; Corporate responsibility; Organized crime; Stage model",,"Gottschalk, P.; BI Norwegian Business School, Oslo, Norway",,,13633589,,,,"English","Corp. Reputation Rev.",Article,Scopus,2-s2.0-84880914756
"Bruyaka O., Zeitzmann H.K., Chalamon I., Wokutch R.E., Thakur P.","Strategic Corporate Social Responsibility and Orphan Drug Development: Insights from the US and the EU Biopharmaceutical Industry",2013,"Journal of Business Ethics","117","1",,"45","65",,2,10.1007/s10551-012-1496-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884978432&partnerID=40&md5=805a41414465f3d0d5697611d3fdeebd","Department of Management, Virginia Tech, 2007 Pamplin Hall, Blacksburg, VA, 24061, United States; Department of Marketing, Inseec Business School, 21, Rue Alsace Lorraine, 69001 Lyon, France","Bruyaka O., Department of Management, Virginia Tech, 2007 Pamplin Hall, Blacksburg, VA, 24061, United States; Zeitzmann H.K., Department of Management, Virginia Tech, 2007 Pamplin Hall, Blacksburg, VA, 24061, United States; Chalamon I., Department of Marketing, Inseec Business School, 21, Rue Alsace Lorraine, 69001 Lyon, France; Wokutch R.E., Department of Management, Virginia Tech, 2007 Pamplin Hall, Blacksburg, VA, 24061, United States; Thakur P., Department of Management, Virginia Tech, 2007 Pamplin Hall, Blacksburg, VA, 24061, United States","In recent years, the biopharmaceutical industry has seen an increase in the development of so-called orphan drugs for the treatment of rare and neglected diseases. This increase has been spurred on by legislation in the United States, Europe, and elsewhere designed to promote orphan drug development. In this article, we examine the drivers of corporate social responsibility (CSR) activities in orphan drug markets and the extent to which biopharmaceutical firms engage in these activities with a strategic orientation. The unique context of orphan drugs constitutes a research opportunity to test the applicability of existing theoretical perspectives on CSR and strategic CSR. Using Schwartz and Carroll's (Bus Ethics Q, 13(4):503-530, 2003) three-domain approach to CSR and the literature on strategic CSR as a theoretical background, we employ a combination of semi-structured interviews and a quantitative website content analysis to study practices of biopharmaceutical firms in the United States and European Union. Our findings show that both US- and EU-based companies engaged in orphan drugs development perceive their involvement as a responsible business activity beyond the economic dimension of CSR. However, for the majority of these companies their CSR activities do not qualify as strategic according to the criteria established in the literature. We also find significant differences between larger and smaller firms in their use of CSR. Based on these findings, we make several suggestions regarding orphan drug legislation and other measures that might help firms exploit strategic CSR benefits. © 2012 Springer Science+Business Media Dordrecht.","Biopharmaceutical industry; Corporate social responsibility (CSR); European Union (EU); Orphan drugs; Rare diseases; Strategic CSR; United States (US)",,"Wokutch, R. E.; Department of Management, Virginia Tech, 2007 Pamplin Hall, Blacksburg, VA, 24061, United States; email: wokutch@vt.edu",,,01674544,,,,"English","J. Bus. Ethics",Article,Scopus,2-s2.0-84884978432
"Kucukusta D., Mak A., Chan X.","Corporate social responsibility practices in four and five-star hotels: Perspectives from Hong Kong visitors",2013,"International Journal of Hospitality Management","34","1",,"19","30",,12,10.1016/j.ijhm.2013.01.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874698447&partnerID=40&md5=e3b0adb540cbd4c13941e23c7957b422","School of Hotel and Tourism Management, Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong","Kucukusta D., School of Hotel and Tourism Management, Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong; Mak A., School of Hotel and Tourism Management, Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong; Chan X., School of Hotel and Tourism Management, Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong","The purpose of this study was to investigate perceptions of visitors to Hong Kong (HK) toward the Corporate Social Responsibility (CSR) practices of its four-and five-star hotels. Adopting a quantitative approach, a questionnaire was developed based on the current CSR practices of nine four-and five-star HK hotels as identified from the Forbes Travel Guide (2012). A sample of 150 HK visitors was surveyed at the Victoria Peak, Avenue of Stars, and Ladies' Market, respectively. Factor analysis was used to identify the CSR factors perceived by the respondents and a regression analysis performed to evaluate the specific relationship between them and HK visitors' attitudes toward hotels adopting such practices. The results show that respondents identified five CSR factors (community, policy, mission and vision, workforce, and environment). Among these factors, environment and mission and vision had the strongest predictive power in explaining HK visitors' preference to stay, willingness to pay, perception of service quality, and brand image. It is suggested that hotels should therefore emphasize these two areas in their CSR programs. © 2013 Elsevier Ltd.","Corporate social responsibility; Customer perceptions; Hong Kong; Hotels",,"Kucukusta, D.; School of Hotel and Tourism Management, Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong; email: hmdeniz@polyu.edu.hk",,,02784319,,IJHMD,,"English","Int. J. Hosp. Manage.",Article,Scopus,2-s2.0-84874698447
"Korschun D., Du S.","How virtual corporate social responsibility dialogs generate value: A framework and propositions",2013,"Journal of Business Research","66","9",,"1494","1504",,6,10.1016/j.jbusres.2012.09.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878138680&partnerID=40&md5=e29091a9a164f501ef183a0b15d38750","Drexel University, 3141 Chestnut Street, Philadelphia, PA 19104, United States; Simmons School of Management, School of Management M338, 300 the Fenway, Boston, MA 02115, United States","Korschun D., Drexel University, 3141 Chestnut Street, Philadelphia, PA 19104, United States; Du S., Simmons School of Management, School of Management M338, 300 the Fenway, Boston, MA 02115, United States","Web-based social media have assumed unprecedented importance in today's world, dramatically changing the way individuals interact with companies and each other. Companies are rapidly expanding their use of social media, and many companies are now entering into what we call ""virtual CSR dialogs,"" where social media technologies are leveraged so that stakeholders can design and implement corporate social responsibility (CSR) activities with the company. But little is known about how such dialogs function, and there is a pressing need for theoretical frameworks that can deepen our understanding of how and when these dialogs generate value for both the company and society. This paper presents a framework that explains how stakeholders interpret and respond to virtual CSR dialogs. The framework reveals that virtual CSR dialogs generate value based on (a) the extent to which stakeholders identify with the community of dialog participants, and (b) the heightened expectations that stakeholders develop. It also outlines the key characteristics that influence the value generating capacity of virtual CSR dialogs. As a result, this paper highlights both the benefits and risks of initiating virtual CSR dialogs. © 2012 Elsevier Inc.","Corporate social responsibility; Social media; Stakeholder; Value co-creation",,"Korschun, D.; Drexel University, 3141 Chestnut Street, Philadelphia, PA 19104, United States; email: dek46@drexel.edu",,,01482963,,JBRED,,"English","J. Bus. Res.",Article,Scopus,2-s2.0-84878138680
"Momin M.A., Parker L.D.","Motivations for corporate social responsibility reporting by MNC subsidiaries in an emerging country: The case of Bangladesh",2013,"British Accounting Review","45","3",,"215","228",,8,10.1016/j.bar.2013.06.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883557770&partnerID=40&md5=6dbf40bc253cb29dbefb35b98beda9eb","AUT Business School, Auckland University of Technology, Private Bag 92006, Auckland 1142, New Zealand; School of Commerce, University of South Australia, 5001, Australia","Momin M.A., AUT Business School, Auckland University of Technology, Private Bag 92006, Auckland 1142, New Zealand; Parker L.D., School of Commerce, University of South Australia, 5001, Australia","While many studies of the motivations behind the corporate social responsibility reporting (CSRR) practices of large corporations have been reported internationally, few have focussed on multinational corporation (MNC) subsidiaries. Most importantly, we still do not know how host country institutional norms, or parent corporation policies, influence MNC subsidiaries embarking upon CSRR. By integrating legitimacy theory (LT) and neo-institutional theory (NIT) explanations, this paper offers a theoretical framework for investigating the CSRR practices of MNC subsidiaries in general, and provides empirical evidence on the nature and motivations of subsidiaries' CSRR practices in Bangladesh, a developing country. Employing a case study method and using qualitative data, the study finds that CSRR practice in Bangladeshi MNC subsidiaries is limited, consisting mainly of employee information. This observation mirrors the overall CSRR trend in Bangladesh. A desire for internal legitimacy emerges as the primary motivation for CSRR practice in MNC subsidiaries. In particular, the external host country environment of the Bangladeshi subsidiaries seems to be a major limitation in the development of CSRR. © 2013 Elsevier Ltd.","Bangladesh; Corporate social responsibility reporting; External legitimacy; Informal norms and beliefs; Internal legitimacy; Multinational corporation subsidiaries",,"Momin, M.A.; AUT Business School, Auckland University of Technology, Private Bag 92006, Auckland 1142, New Zealand; email: Mahmood.momin@aut.ac.nz",,,08908389,,,,"English","Br. Account. Rev.",Article,Scopus,2-s2.0-84883557770
"Michailides T.P., Lipsett M.G.","Surveying employee attitudes on corporate social responsibility at the frontline level of an energy transportation company",2013,"Corporate Social Responsibility and Environmental Management","20","5",,"296","320",,4,10.1002/csr.1291,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883820132&partnerID=40&md5=5d9afd75e85c3eed53c580f46ab2ec28","University of Alberta, Mechanical Engineering, Edmonton, AB, Canada","Michailides T.P., University of Alberta, Mechanical Engineering, Edmonton, AB, Canada; Lipsett M.G., University of Alberta, Mechanical Engineering, Edmonton, AB, Canada","As large companies embrace and integrate the principles of corporate social responsibility (CSR) into their business practices, company personnel are expected to show actions that are connected to communicated corporate values and related policies. To enhance the likelihood that employees at the frontline level will accept these principles and become engaged with these values, it is in the firm's best interests to quantify and understand employee attitudes toward the social responsibility construct itself. The present work considers whether the variables of work climate perception, education level, and age directly influence one's social responsibility perspective at work, extending the Marz model to understand what may impact frontline CSR attitudes. A case study is presented, based on a survey of frontline personnel employed by a North American energy transportation company. This investigation uses an updated survey tool and method for polling a sample population. Survey development is described, analysis methods are explained, and results are presented with statistical measures to verify hypotheses related to employee engagement in CSR. Some potential implications of the results for corporate strategy are discussed. © 2012 John Wiley & Sons, Ltd and ERP Environment.","Age; Attitude; Corporate social responsibility; Demographics; Education level; Enbridge; Energy transportation; Frontline employee; Orientation; Work climate",,"Lipsett, M.G.; University of Alberta, Mechanical Engineering, Edmonton, AB, T6G 2G8, Canada; email: michael.lipsett@ualberta.ca",,,15353958,,,,"English","Corp. Soc. Responsib. Environ. Manage.",Article,Scopus,2-s2.0-84883820132
"Paek S., Xiao Q., Lee S., Song H.","Does managerial ownership affect different corporate social responsibility dimensions? An empirical examination of U.S. publicly traded hospitality firms",2013,"International Journal of Hospitality Management","34","1",,"423","433",,8,10.1016/j.ijhm.2012.12.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878562937&partnerID=40&md5=13316aa547828d5bb87d308dda753680","School of Hotel and Tourism Management, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong; School of Hospitality Management, The Pennsylvania State University, University Park, PA, United States","Paek S., School of Hotel and Tourism Management, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong; Xiao Q., School of Hotel and Tourism Management, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong; Lee S., School of Hospitality Management, The Pennsylvania State University, University Park, PA, United States; Song H., School of Hotel and Tourism Management, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong","This study examines the relationship between managerial ownership and different dimensions of corporate social responsibility (CSR) in the hospitality industry. In particular, the study investigates the relationships between levels of ownership shares by managers and the CSR performances in five sub-dimensions, using panel data of the publicly traded hotel, restaurant, and casino firms in the U.S. The study relies on the two-way fixed-effects model using clustered robust standard errors. In addition, considering the potential simultaneous relationship between managerial ownership and CSR dimensions, which will cause an endogeneity problem, this study employs instrumental variables to test the existence of endogeneity and conduct the two-stage-least-squares method. However, by failing the weak identification test of the instrumental variables, the study accepts the results of two-way fixed-effects model, not those of the two-stage-least-squares method. The results indicate that managerial ownership has a significant negative relationship with employee relations and a weak negative one with diversity dimensions, while having an insignificant impact on the community, environment, and product dimensions. © 2012 Elsevier Ltd.","Corporate social responsibility; Fixed-effects model; Hospitality industry; Managerial ownership; Panel data analysis",,"Paek, S.; School of Hotel and Tourism Management, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong; email: soyon.paek@polyu.edu.hk",,,02784319,,IJHMD,,"English","Int. J. Hosp. Manage.",Article,Scopus,2-s2.0-84878562937
"Mackenzie C., Rees W., Rodionova T.","Do responsible investment indices improve corporate social responsibility? FTSE4Good's impact on environmental management",2013,"Corporate Governance (Oxford)","21","5",,"495","512",,2,10.1111/corg.12039,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881333672&partnerID=40&md5=4e0e1989f1394c560a439f1c633f428c","University of Edinburgh Business School, United Kingdom","Mackenzie C., University of Edinburgh Business School, United Kingdom; Rees W., University of Edinburgh Business School, United Kingdom; Rodionova T., University of Edinburgh Business School, United Kingdom","Manuscript Type: Empirical Research Question/Issue: This study investigates the impact of a responsible investment index on environmental management practices. Firms that were included in the FTSE4Good index but failed to meet enhanced requirements were subject to both engagement by FTSE and the threat of expulsion from the index. We examine the combined effect of these actions, estimate the contribution of both elements separately, and the influence of concentrated equity ownership, corporate governance, and the institutional environment. We also evaluate whether the effect is persistent or transitory. Research Findings/Insights: For a sample of 1,029 firms from 21 countries, our findings demonstrate that engagement combined with the threat of expulsion from the FTSE4Good index doubles the probability that a firm failing to meet the environmental management criteria in 2002 would comply by 2005. The higher compliance rate for the firms receiving engagement persists until the end of our study in 2010. We also find that compliance is positively associated with low levels of concentrated ownership and with firms based in coordinated rather than liberal market economies. Theoretical/Academic Implications: Our results contribute to the understanding of the complexities of governance, where decision makers are constrained or influenced by equity holders, the firm's governance system, institutional arrangements, and collective engagement by institutional equity holders. Our findings are consistent with both institutional and agency issues impacting on decision making. Practitioner/Policy Implications: Our study suggests that engagement via a responsible investment index reinforced by the threat of public expulsion from the index provides an effective route for large-scale collaborative investor engagement on corporate social responsibility issues targeting large and internationally diverse firms. It also demonstrates why regulators may wish to encourage engagement of this type to achieve social benefits. © 2013 John Wiley & Sons Ltd.","Corporate governance; Corporate social responsibility; Environmental management; FTSE4Good; Investor engagement; Responsible investment indices",,"Rodionova, T.; The University of Edinburgh Business School, 29 Buccleuch Place, Edinburgh EH8 9JS, United Kingdom; email: tatiana.rodionova@ed.ac.uk",,,09648410,,,,"English","Corp. Gov.",Article,Scopus,2-s2.0-84881333672
"Pedersen E.R.G., Neergaard P., Pedersen J.T., Gwozdz W.","Conformance and deviance: Company responses to institutional pressures for corporate social responsibility reporting",2013,"Business Strategy and the Environment","22","6",,"357","373",,4,10.1002/bse.1743,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884159077&partnerID=40&md5=f4f49d4b4f6628f9329ae3ce06cf8ac8","Copenhagen Business School, Center for Corporate Social Responsibility, Denmark","Pedersen E.R.G., Copenhagen Business School, Center for Corporate Social Responsibility, Denmark; Neergaard P., Copenhagen Business School, Center for Corporate Social Responsibility, Denmark; Pedersen J.T., Copenhagen Business School, Center for Corporate Social Responsibility, Denmark; Gwozdz W., Copenhagen Business School, Center for Corporate Social Responsibility, Denmark","This paper analyses how large Danish companies are responding to new governmental regulation which requires them to report on corporate social responsibility (CSR). The paper is based on an analysis of 142 company annual reports required by the new Danish regulation regarding CSR reporting, plus 10 interviews with first-time reporting companies and six interviews with companies that failed to comply with the new law. It is concluded that coercive pressures from government have an impact on CSR reporting practices. Further, the analysis finds traces of mimetic isomorphism which inspires a homogenisation in CSR reporting practices. Finally, it is argued that non-conformance with the new regulatory requirements is not solely about conscious resistance but may also be caused by, for example, lack of awareness, resource limitations, misinterpretations, and practical difficulties. © 2013 John Wiley & Sons, Ltd and ERP Environment.","Corporate social responsibility (CSR); Institutional theory; Performance measurement; Reporting","corporate strategy; environmental economics; institutional framework; performance assessment; regulatory framework; theoretical study; Denmark","Pedersen, E.R.G.; Copenhagen Business School, Center for Corporate Social Responsibility (cbsCSR), Porcelaenshaven 18, DK-2000 Frederiksberg, Denmark; email: erp.ikl@cbs.dk",,,09644733,,,,"English","Bus. Strategy Environ.",Article,Scopus,2-s2.0-84884159077
"Rodríguez Gutiérrez P., Fuentes García F.J., Sánchez Cañizares S.","Information disclosure customers, community, employees and environment in Spanish bank sector through the corporate social responsibility memories (2007-2010)",2013,"Investigaciones Europeas de Direccion y Economia de la Empresa","19","3",,"180","187",,,10.1016/j.iedee.2012.12.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881609869&partnerID=40&md5=12d1c7cf6e45461b9d33361198528468","Departamento de Organización de Empresas, Facultad de Derecho y Ciencias Económicas y Empresariales, Universidad de Córdoba, Puerta Nueva s/n, 14071 Córdoba, Spain","Rodríguez Gutiérrez P., Departamento de Organización de Empresas, Facultad de Derecho y Ciencias Económicas y Empresariales, Universidad de Córdoba, Puerta Nueva s/n, 14071 Córdoba, Spain; Fuentes García F.J., Departamento de Organización de Empresas, Facultad de Derecho y Ciencias Económicas y Empresariales, Universidad de Córdoba, Puerta Nueva s/n, 14071 Córdoba, Spain; Sánchez Cañizares S., Departamento de Organización de Empresas, Facultad de Derecho y Ciencias Económicas y Empresariales, Universidad de Córdoba, Puerta Nueva s/n, 14071 Córdoba, Spain","The aim of this paper is to analyze the phenomenon of corporate social responsibility (CSR) in the Spanish banking sector through social responsibility reports. Based on the theories of legitimacy and Stakeholders justified the use of CSR to analyze the behavior information about its environment. As survey methodology used content analysis, in particular are analyzed and compared the information practices in relation to four pillars on which the RSC is organized: customers, community, employees and the environment. In particular, it proposes a content index of liability (IDR) that measures the quality and detail of information provided. The study concludes that the community and environment categories are the most generally reported, although nature are social institutions (savings banks and credit unions) more transparent about customers and community is concerned, on the evolution during the recent years have seen that the transparency of information does not increase, but remains stable or even decreased as in the case of the contents on customers, in addition, we find that the contents are related to the internal activity of the company remains concerned about the most institutions to address the impacts of their activities as financial intermediaries. © 2012 AEDEM.","Content analysis; Corporate social responsibility; Financial institutions; Global reporting initiative",,"Rodríguez Gutiérrez, P.; Departamento de Organización de Empresas, Facultad de Derecho y Ciencias Económicas y Empresariales, Universidad de Córdoba, Puerta Nueva s/n, 14071 Córdoba, Spain; email: d22rogup@uco.es",,,11352523,,,,"Spanish; English","Invest. Eur. Dir. Econ. Empresa",Article,Scopus,2-s2.0-84881609869
"Azaña Y.S.-U.","Corporate social responsibility and active ageing [Responsabilidad social empresarial y envejecimiento activo]",2013,"Journal Globalization, Competitiveness and Governability","7","3",,"60","75",,,10.3232/GCG.2013.V7.N3.04,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893468378&partnerID=40&md5=a66d6e0f171c6c361ce76c2743ac477f","Departamento de Derecho Del Trabajo y de la Seguridad Social, Facultad de Derecho, Universidad Complutense de Madrid, Av. Complutense s/n, 28040 Madrid, Spain","Azaña Y.S.-U., Departamento de Derecho Del Trabajo y de la Seguridad Social, Facultad de Derecho, Universidad Complutense de Madrid, Av. Complutense s/n, 28040 Madrid, Spain",[No abstract available],,,"Azaña, Y.S.-U.; Departamento de Derecho Del Trabajo y de la Seguridad Social, Facultad de Derecho, Universidad Complutense de Madrid, Av. Complutense s/n, 28040 Madrid, Spain; email: sanuran@der.ucm.es",,,19887116,,,,"Spanish","J. Globalization Compet. Governability",Article,Scopus,2-s2.0-84893468378
"Sánchez-Calero J.","Corporate social responsibility and good administration [La Responsabilidad Social Empresarial y la Buena Administración]",2013,"Journal Globalization, Competitiveness and Governability","7","3",,"103","114",,,10.3232/GCG.2013.V7.N3.07,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893461333&partnerID=40&md5=b56b220d3d14b8e3d97457d1470a00a2","Departamento de Derecho Mercantil, Facultad de Derecho, Universidad Complutense de Madrid, Av. Complutense s/n, 28040 Madrid, Spain","Sánchez-Calero J., Departamento de Derecho Mercantil, Facultad de Derecho, Universidad Complutense de Madrid, Av. Complutense s/n, 28040 Madrid, Spain",[No abstract available],,,"Sánchez-Calero, J.; Departamento de Derecho Mercantil, Facultad de Derecho, Universidad Complutense de Madrid, Av. Complutense s/n, 28040 Madrid, Spain; email: jscalero@der.ucm.es",,,19887116,,,,"Spanish","J. Globalization Compet. Governability",Article,Scopus,2-s2.0-84893461333
"Malherbe J.","Corporate social responsibility and taxation [Responsabilidad social de la empresa y fiscalidad]",2013,"Journal Globalization, Competitiveness and Governability","7","3",,"49","59",,,10.3232/GCG.2013.V7.N3.03,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893492797&partnerID=40&md5=54a5090307d6a43610a4b60e31ad113e","Universidad Católica de Lovaina, Belgium; Liedekerke Wolters Waelbroeck Kirkpatrick, boulevard de l'Empereur 3 Keizerslaan, 1000 Brussels, Belgium","Malherbe J., Universidad Católica de Lovaina, Belgium, Liedekerke Wolters Waelbroeck Kirkpatrick, boulevard de l'Empereur 3 Keizerslaan, 1000 Brussels, Belgium",[No abstract available],,,"Malherbe, J.; Liedekerke Wolters Waelbroeck Kirkpatrick, boulevard de l'Empereur 3 Keizerslaan, 1000 Brussels, Belgium; email: j.malherbe@liedekerke.com",,,19887116,,,,"Spanish","J. Globalization Compet. Governability",Article,Scopus,2-s2.0-84893492797
"Grau-Ruiz M.A.","Corporate Social Responsibility and international taxation related to foreign direct investment in developing countries [Responsabilidad Social Empresarial y fiscalidad internacional en relación con la inversión directa extranjera en países en desarrollo]",2013,"Journal Globalization, Competitiveness and Governability","7","3",,"34","48",,,10.3232/GCG.2013.V7.N3.02,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893480762&partnerID=40&md5=bbe5ae1e0be8d36177759adceb14d1c9","Departamento de Derecho Financiero y Tributario, Facultad de Derecho, Universidad Complutense de Madrid, Av. Complutense s/n, 28040 Madrid, Spain","Grau-Ruiz M.A., Departamento de Derecho Financiero y Tributario, Facultad de Derecho, Universidad Complutense de Madrid, Av. Complutense s/n, 28040 Madrid, Spain",[No abstract available],,,"Grau-Ruiz, M.A.; Departamento de Derecho Financiero y Tributario, Facultad de Derecho, Universidad Complutense de Madrid, Av. Complutense s/n, 28040 Madrid, Spain; email: grauruiz@ucm.es",,,19887116,,,,"Spanish","J. Globalization Compet. Governability",Article,Scopus,2-s2.0-84893480762
