Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Díez-De-Castro E., Díez-Martín F., Vázquez-Sánchez A.","Antecedents of institutional process [Antecedentes de la institucionalización de las organizaciones]",2015,"Cuadernos de Gestion","15","1",,"15","38",,,10.5295/cdg.130416ed,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928654438&partnerID=40&md5=137a9fdfaafb838d24f49c3ec91a62da","Departamento de Administración de Empresas, Marketing de la Universidad de Sevilla, Facultad de Ciencias Económicas y Empresariales, c/ Ramón y Cajal, 1, Sevilla, Spain; Departamento. Economía de la Empresa, Campus de Vicálvaro de la Universidad Rey Juan Carlos, Paseo de los Artilleros, s/n, Madrid, Spain","Díez-De-Castro E., Departamento de Administración de Empresas, Marketing de la Universidad de Sevilla, Facultad de Ciencias Económicas y Empresariales, c/ Ramón y Cajal, 1, Sevilla, Spain; Díez-Martín F., Departamento. Economía de la Empresa, Campus de Vicálvaro de la Universidad Rey Juan Carlos, Paseo de los Artilleros, s/n, Madrid, Spain; Vázquez-Sánchez A., Departamento de Administración de Empresas, Marketing de la Universidad de Sevilla, Facultad de Ciencias Económicas y Empresariales, c/ Ramón y Cajal, 1, Sevilla, Spain","This research is an attempt to advance the understanding of why organizations are responsive to the institutionalization process. To this end, we describe key elements that help explain the origin of this process. Furthermore, this research has followed a qualitative research methodology, using the 'concept mapping' technique, and grouping the different constructs items that act as motivating factors in the transformation of organizations to institutions. Methodologically we have tried to overlook the differentiation between old and new institutionalism, this approach follows the ideas of those researchers that question the suitability of drawing a line between the ""old"" and the ""new"" theory. We consider that the role of the CEO is essential in driving the institutionalization process, though usually their decisions are supported or have passed through the filter of the organization governance staff or the board of directors. Any progress that the organization makes depends fundamentally on the capabilities, perceptions, training and mindset of the CEO. The research results reinforce several key topics suggested in the literature on institutional theory. Particularly, we have proposed a classification with the motives that give rise to institutional initiatives: institutional authority; advantage in management; and, social involvement. This classification is consistent, to a larger extend, to the pillars of institutionalization that have been defined in the institutional theory literature, helping to understand, in more detail, the origin of the business processes and the background or motivations that generates and guide them.","Corporate social responsibility; Institutional initiative; Institutional theory; Institutionalization; Management motivation",,,,"Institute of Applied Business Economics",11316837,,,,"Spanish","Cuad. Gest.",Article,Scopus,2-s2.0-84928654438
"Vyas V., Raitani S.","An examination of linkages between CSR and cross-buying",2015,"Social Responsibility Journal","11","3",,"622","640",,,10.1108/SRJ-08-2014-0118,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937543248&partnerID=40&md5=7791d152cefe4d96b7d525bd29f54c86","Atal Bihari Vajpayee - Indian Institute of Information Technology and Management, Gwalior, India; Faculty of Management Studies, Mody University of Science and Technology, Sikar, India","Vyas V., Atal Bihari Vajpayee - Indian Institute of Information Technology and Management, Gwalior, India; Raitani S., Faculty of Management Studies, Mody University of Science and Technology, Sikar, India","Purpose - This paper aims to probe into the linkages between the corporate social responsibility (CSR) practices of banks and the cross-buying intentions of banking customers. Though the authors could not find any direct link between these two concepts on theoretical ground, but an effort has been made to identify the impact of CSR on cross-buying intentions through corporate reputation and relationship quality. Like other industries, the Indian banking industry has also witnessed a balance between its social-environmental responsibilities and its clearly defined economic responsibility to earn profit. Design/methodology/approach - The universe for the present study constitutes the customers of the entire Indian banking industry. Considering the cost and time constraints, the study was limited to a sample of 347 public and private bank customers in the Rajasthan region based on the convenience sampling method. Data were collected using a structured questionnaire and analyzed through structural equation modeling. CSR measures included philanthropic and ethical responsibility. Findings - Results revealed that corporate reputation and relationship quality both play a mediating role in the linkages between CSR and cross-buying intentions. Practical implications - The study suggests integrating marketing strategy with its CSR strategies to encourage cross-buying intentions. While making the cross-selling agenda, they should bear reputation in mind because at the relationship development phase, customers generally rely on reputation than their evaluation of bank's products for cross-buying. Originality/value - This study is the first in marketing literature which relates the concept of CSR and the cross-buying.","Corporate reputation; Corporate social responsibility; Cross-buying; Indian banking industry; Relationship quality",,"Raitani, S.; Faculty of Management Studies, Mody University of Science and TechnologyIndia",,"Emerald Group Publishing Ltd.",17471117,,,,"English","Soc. Responsib. J.",Article,Scopus,2-s2.0-84937543248
"Kahla M.C., Crocker R.M.","Land o'lakes: Teaching farmers in base of the pyramid",2015,"Journal of the International Academy for Case Studies","21","1",,"125","130",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930826848&partnerID=40&md5=a6dc559c2f9375692e7d02c7b1fd95fc","Stephen F. Austin State University, United States","Kahla M.C., Stephen F. Austin State University, United States; Crocker R.M., Stephen F. Austin State University, United States","Case Description: Corporate social responsibility is a guiding theme for one of the largest agricultural cooperatives in the world and is illustrated here for students to explore effective corporate partnerships that reach and teach those in the Base of the Pyramid (BoP). The benefits of partnering flow to everyone involved, i.e., the cooperative itself, its employees, the people in the various countries in the Base of the Pyramid, and supporting infrastructure from the partnerships, i.e., USAID, ENGINE, and VEGA. Land O'Lakes is successful in building realities for people becoming self-sufficient in countries such as Ethiopia and Afghanistan. The case enables faculty to direct students to discover effective strategies in partnering with various organizations in enabling people in the BoP to improve their standards of living. Case Synopsis: Caroline Tetrick, a Sales Representative for Land O'Lakes, finds herself with an exciting opportunity but doesn't know enough to make a life-changing decision. Mark Reynolds, her supervisor and the International Projects Director for Land O'Lakes, believes that Caroline's fasttrack opportunity lies in Ethiopia. Caroline is all for corporate social responsibility but never expected to become a major player on foreign soil.",,,,,"Allied Academies",10784950,,,,"English","J. Int. Acad. Case Stud.",Article,Scopus,2-s2.0-84930826848
"Kahla M.C., Crocker R.M.","Land o'lakes: Teaching farmers in base of the pyramid",2015,"Journal of the International Academy for Case Studies","21","2",,"123","127",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930839928&partnerID=40&md5=cedd12615af55784f4f80235247b4417","Stephen F. Austin State University, United States","Kahla M.C., Stephen F. Austin State University, United States; Crocker R.M., Stephen F. Austin State University, United States","Case Description: Corporate social responsibility is a guiding theme for one of the largest agricultural cooperatives in the world and is illustrated here for students to explore effective corporate partnerships that reach and teach those in the Base of the Pyramid (BoP). The benefits of partnering flow to everyone involved, i.e., the cooperative itself, its employees, the people in the various countries in the Base of the Pyramid, and supporting infrastructure from the partnerships, i.e., USAID, ENGINE, and VEGA. Land O'Lakes is successful in building realities for people becoming self-sufficient in countries such as Ethiopia and Afghanistan. The case enables faculty to direct students to discover effective strategies in partnering with various organizations in enabling people in the BoP to improve their standards of living. Case Synopsis: Caroline Tetrick, a Sales Representative for Land O'Lakes, finds herself with an exciting opportunity but doesn't know enough to make a life-changing decision. Mark Reynolds, her supervisor and the International Projects Director for Land O'Lakes, believes that Caroline's fasttrack opportunity lies in Ethiopia. Caroline is all for corporate social responsibility but never expected to become a major player on foreign soil.",,,,,"Allied Academies",10784950,,,,"English","J. Int. Acad. Case Stud.",Article,Scopus,2-s2.0-84930839928
[No author name available],"Buying in or selling out?: How to effectively employ political strategies",2015,"Strategic Direction","31","2",,"7","9",,,10.1108/SD-01-2015-0014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924730342&partnerID=40&md5=a9b2f1a0b676a772b3b9ce817f4480db",,"","The day before the fall of Baghdad in the second Gulf War, one of the strangest, most surreal images involved the then External Affairs Minister of Iraq proclaiming that, in the distance, the explosions and smoke that could be clearly be seen from the city were not the attacks of Western allied troops, but the successful attacks of Iran’s own army on allied positions. Despite the howls of derision from the Western press who knew full well that what he was saying was flatly wrong, he maintained his line until the last moment before “shock and awe” had its full effect. One may regard this as one of the most futile, and unsuccessful, public relations activities of all time; however, what the Iranian politician was doing was following a tactic that can trace its way back all the way to Machiavelli. Be consistent, be candid and place even the slightest doubt in the listener’s mind: this will save you some time, and may serve you well even in the darkest hour. © Emerald Group Publishing Limited.","Corporate governance; Corporate social responsibility; Manufacturing industry; Political strategies",,,,"Emerald Group Publishing Ltd.",02580543,,,,"English","Strateg. Dir.",Article,Scopus,2-s2.0-84924730342
"Luo Y., Qian X., Ren J.","Initial public offerings and air pollution: Evidence from China",2015,"Journal of Asia Business Studies","9","1",,"99","114",,,10.1108/JABS-08-2014-0056,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927589589&partnerID=40&md5=f26c72714ea9a869202a2314f2447814","Department of Finance, School of Management, Fudan University, Shanghai, China; Department of Finance and Business Economics, University of Macau, Taipa, Macau, China","Luo Y., Department of Finance, School of Management, Fudan University, Shanghai, China; Qian X., Department of Finance and Business Economics, University of Macau, Taipa, Macau, China; Ren J., Department of Finance and Business Economics, University of Macau, Taipa, Macau, China","Purpose – The purpose of this study is to investigate the impact of firms’ financing activities on the environment. Faced with a deteriorating global environment, both corporations and regulatory bodies have become more responsive to environmental conservation problems. However, existing literature has not adequately addressed the question of whether and how firms’ business activities influence the environment. Design/methodology/approach – Using the daily air pollution indices of 120 Chinese cities from 2001 to 2012, this study found that air pollution is alleviated after firms’ initial public offerings (IPOs). This paper proposes that firms’ IPOs influence the ambient air pollution through three channels: production scale, technical reform and corporate governance effects. Findings – The authors of this study found that the proceeds acquired in IPOs result in enlarged production scales that increase pollution, while the investment of these proceeds in social responsibility-related technical reform and enhanced corporate governance reduce pollution. Moreover, the authors discover that firms with a higher state ownership emit fewer pollutants, thus supporting the positive monitoring role of the Chinese government. Originality/value – Although this study investigates the impact of IPOs on air quality in China, the proposed analytical framework also applies to studies of other financing activities in global markets. This study has important policy implications for government regulations in environmental controls. © Emerald Group Publishing Limited.","Air pollution; Chinese firms; Corporate social responsibility; IPO",,"Ren, J.; Department of Finance and Business Economics, University of MacauChina",,"Emerald Group Publishing Ltd.",15587894,,,,"English","J. Asia Bus. Stud.",Article,Scopus,2-s2.0-84927589589
"McIntyre M.L., Murphy S.A., Sirsly C.-A.T.","Do firms seek social license to operate when stakeholders are poor? Evidence from Africa",2015,"Corporate Governance (Bingley)","15","3",,"306","314",,,10.1108/CG-01-2014-0011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930172290&partnerID=40&md5=4deb10694328cd3a44913706602d9497","Eric Sprott School of Business, Carleton University, Ottawa, Canada; Ted Rogers School of Management, Ryerson University, Toronto, Canada","McIntyre M.L., Eric Sprott School of Business, Carleton University, Ottawa, Canada; Murphy S.A., Ted Rogers School of Management, Ryerson University, Toronto, Canada; Sirsly C.-A.T., Eric Sprott School of Business, Carleton University, Ottawa, Canada","Purpose – The purpose of this paper is to test for the salience of social licence to operate in the context of a very poor community. The idea of social license to operate is closely linked to ideas of stakeholder power, legitimacy and urgency (Mitchell et al., 1997). But what if a community is impoverished, and lacks the tools and privileges to effect change? Do the stakeholders believe they have influence over extension of the social license to operate? Does the employer listen to them? To examine this issue, survey data was gathered from 12,000 stakeholders working in a poor township in South Africa. The township is located near a major South African city in an employment market dominated by a single heavy industry. Responders perceived their welfare to be of importance to the employer and that they had a role in extension of the social license to operate. Design/methodology/approach – A survey of 12,000 employees working in an impoverished township near a large South African city. Findings – Despite being impoverished and lacking the tools and privileges to effect change that are available in wealthier communities, responders perceived some influence over extension of social license to operate. Research limitations/implications – While responders expressed clear sentiments, their actual power to extend or withhold social license to operate is unclear, and the study did not test for this. Practical implications – The practical implication is that firms should be wary of assuming that just because a stakeholder group is impoverished, it is unaware of its role and power as a stakeholder. Social implications – The more important implication is that under conditions of poverty, responders expressed a clear desire to see impediments to work removed, rather than a desire for handouts. Originality/value – The authors doubt there has ever been a study of this kind with this large a sample, in conditions of such extreme poverty. © Emerald Group Publishing Limited.","Corporate social responsibility; Social license to operate; Stakeholder theory",,"McIntyre, M.L.; Eric Sprott School of Business, Carleton UniversityCanada",,"Emerald Group Publishing Ltd.",14720701,,,,"English","Corp. Gov.",Article,Scopus,2-s2.0-84930172290
"Clyde P., Karnani A.","Improving private sector impact on poverty alleviation: A cost-based taxonomy",2015,"California Management Review","57","2",,"20","35",,,10.1525/cmr.2015.57.2.20,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925336827&partnerID=40&md5=2589ea13e2f8962c9057fec220458e38","William Davidson Institute, University of Michigan, United States; Department of Strategy, Michigan's Ross School of Business, United States","Clyde P., William Davidson Institute, University of Michigan, United States; Karnani A., Department of Strategy, Michigan's Ross School of Business, United States","The past few decades have seen an increasing role for the private sector in poverty alleviation. The variety of names used to describe these initiatives-corporate social responsibility, social enterprise, base of the pyramid, impact investing, not-for-loss business, and corporate philanthropy-obscures the similarity between them: they all sacrifice economic profits in return for social impact. This article uses economic theory to develop a cost-based taxonomy of private sector initiatives in poverty alleviation by taking into consideration which costs are being subsidized. This highlights the incentive effects, allowing the donor to increase the efficiency and impact of the initiative. © 2015 by The Regents of the University of California.","Business and society; Corporate social responsibility; Developing countries; Philanthropy",,,,"University of California Press",00081256,,,,"English","Calif. Manage. Rev.",Article,Scopus,2-s2.0-84925336827
"Tuan L.T., Rowley C.","From value-based human resource practices to i-deals: Software companies in vietnam",2015,"Personnel Review","44","1",,"39","68",,,10.1108/PR-08-2013-0151,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923327372&partnerID=40&md5=d7b58afaade88749c1ec69bad2f92a30","School of Government, University of Economics (UEH), Ho Chi Minh City, Viet Nam; School of Management (SOM), Asian Institute of Technology (AIT), Thailand; Cass Business School, City University, London, United Kingdom; HEAD Foundation, Singapore","Tuan L.T., School of Government, University of Economics (UEH), Ho Chi Minh City, Viet Nam, School of Management (SOM), Asian Institute of Technology (AIT), Thailand; Rowley C., Cass Business School, City University, London, United Kingdom, HEAD Foundation, Singapore","Purpose – Idiosyncratic deals (i-deals) are employees’ proactive individualized negotiations with their employer for higher job autonomy corresponding to their competencies and values. The path to i-deals in the organization can commence with value-based human resource (HR) practices. The purpose of this paper is to investigate this path from value-based HR practices to i-deals through the mediating roles of corporate social responsibility (CSR), emotional intelligence (EI) and upward influence behaviors. Design/methodology/approach – The hypothesized model was verified through the structural equation modeling-based analysis of cross-sectional data from 362 respondents from Vietnam-based software companies. Findings – Research findings found value-based HR practices as the starting point of the path to i-deals, in which consecutive crucial milestones are ethical CSR, EI and organizationally beneficial upward influence behaviors. Originality/value – I-deals literature, through this empirical inquiry, is further extended by discovering the socialized driving forces, such as CSR and EI, behind individualized i-deals. © Luu Trong Tuan and Chris Rowley.","Corporate social responsibility; Emotional intelligence; Human resource practices; I-deals; Quantitative; Upward influence behaviours; Vietnam",,,,"Emerald Group Publishing Ltd.",00483486,,,,"English","Pers. Rev.",Article,Scopus,2-s2.0-84923327372
"Keig D.L., Brouthers L.E., Marshall V.B.","Formal and Informal Corruption Environments and Multinational Enterprise Social Irresponsibility",2015,"Journal of Management Studies","52","1",,"89","116",,4,10.1111/joms.12102,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84916199632&partnerID=40&md5=a27e6b150f8fedc0b7fa5cb0fcf04766","Whitworth University, United States; Kennesaw State University, United States","Keig D.L., Whitworth University, United States; Brouthers L.E., Kennesaw State University, United States; Marshall V.B., Kennesaw State University, United States","Using an institutional theory framework we theorize, hypothesize, and empirically show that higher levels of formal and informal corruption environments found in a firm's operating portfolio are related to higher levels of corporate social irresponsibility (CSiR). Failing to consider corruption's informal dimension leads to potentially false perceptions about a multinational enterprise's (MNE) operating environment, particularly when the formal dimension is low but the informal corruption dimension is high, as is the case in about one third of our sample. Including the informal corruption environment component provides additional explanatory power over the formal corruption environment alone in predicting CSiR and yields a superior understanding of both the formal and informal dimensions of the corruption institutional environment's influence on corporate social irresponsibility levels of MNEs. Managerial implications and future research directions are discussed. © 2014 John Wiley & Sons Ltd and Society for the Advancement of Management Studies.","Corporate social irresponsibility (CSiR); Corporate social responsibility (CSR); Corruption; Institutional theory; International; Multinational enterprise (MNE); Negative binomial regression",,"Brouthers, L.E.; Department of Management and Entrepreneurship, Coles College of Business, Kennesaw State University, 1000 Chastain Rd NW, United States",,"Blackwell Publishing Ltd",00222380,,,,"English","J. Manage. Stud.",Article,Scopus,2-s2.0-84916199632
"Shanmugam K., Lakshmi P., Visalakshmi S.","Employing multi-criteria decision making in examining CSR initiatives",2015,"International Journal of Business Innovation and Research","9","1",,"115","132",,,10.1504/IJBIR.2015.065967,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84915818784&partnerID=40&md5=d1a5de6e12c47eb61673303da1e07e41","Department of Management Studies, JJ College of Engineering and Technology, Trichy, Tamilnadu, India; Department of Management Studies, National Institute of Technology, Trichy, Tamilnadu, India","Shanmugam K., Department of Management Studies, JJ College of Engineering and Technology, Trichy, Tamilnadu, India; Lakshmi P., Department of Management Studies, National Institute of Technology, Trichy, Tamilnadu, India; Visalakshmi S., Department of Management Studies, National Institute of Technology, Trichy, Tamilnadu, India","The study provides a framework of the CSR initiatives through a survey of 50 companies in automobile, cement, chemical, pharmaceutical and textile industries in the Indian manufacturing sector. The stakeholders are identified as customers, employees, environment and community. Structural equation model (SEM) is used to test the hypothesised model and compare the overall CSR activities. The findings of second order SEM reveal the emergence of environment CSR as corporate focus. A variety of fit indices confirmed the overall model fit and all the paths in the model were statistically significant. In addition, the analytic hierarchy process (AHP) which is a multi-criteria decision making technique is used to rank each decision alternative of the proposed evaluation model. The results of AHP indicate that the Indian automobile industry leads in CSR initiatives. The scores of the constructs in the model could be used by the companies to ascertain the CSR initiatives taken by them and the relative importance given to various stakeholders in arriving at the overall CSR. From such an understanding, industries could adjust the CSR activities and be more socially responsible. © 2015 Inderscience Enterprises Ltd.","AHP; Analytic hierarchy process; Community; Corporate social responsibility; CSR; Customers; Employees; Environment; SEM; Structural equation model",,"Lakshmi, P.; Department of Management Studies, National Institute of TechnologyIndia",,"Inderscience Enterprises Ltd.",17510252,,,,"English","Int. J. Bus. Innov. Res.",Article,Scopus,2-s2.0-84915818784
"Tofighi M., Bodur H.O.","Social responsibility and its differential effects on the retailers’ portfolio of private label brands",2015,"International Journal of Retail and Distribution Management","43","4-5",,"301","313",,,10.1108/IJRDM-03-2014-0040,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929329095&partnerID=40&md5=03ee99f9e3376d5f6a95fc6b4fa5c40a","Department of Marketing, Concordia University, John Molson School of Business, Montreal, Canada","Tofighi M., Department of Marketing, Concordia University, John Molson School of Business, Montreal, Canada; Bodur H.O., Department of Marketing, Concordia University, John Molson School of Business, Montreal, Canada","Purpose – The purpose of this paper is to explore how social responsibility initiatives can be integrated into different tiers of retailers’ private label brands (PLB) and introduces a conceptual model and opposing predictions building on research in social responsibility and evolutionary psychology. The empirical evidence from two studies suggests that retailers should consider the type of PLB (i.e. quality tier) in the introduction of social responsibility initiatives. Design/methodology/approach – To investigate opposing predictions, the authors conducted two experiments with presence of social responsibility initiative and PLB quality tier as the factors. The authors present the results from 168 Canadian consumers focussing on two product categories. Findings – The findings of two experiments are more consistent with an explanation based on resource synergy beliefs rather than costly signaling theory. Social responsibility initiatives enhanced consumer evaluations of high-quality PLBs, but hurt consumer evaluations of low-tier PLBs. Practical implications – Retailers should differentiate the way they accommodate social responsibility initiatives based on the type of their PLBs. Specifically, the beneficial effect of social responsibility initiative only exist for high-tier PLBs. Introducing social responsibility initiatives may hurt preference for low-tier PLBs. Originality/value – This paper is the first to propose two theoretical models that address how social responsibility initiatives can affect consumer evaluations of PLBs. The initial empirical evidence is more coherent with resource synergy beliefs explanation rather than costly signaling explanation. These results suggest that social responsibility initiatives have asymmetric effects for different tiers of retailers’ PLBs. © Emerald Group Publishing Limited.","Corporate social responsibility (CSR); Costly signalling theory; Private label brand (PLB); Resource synergy beliefs",,"Tofighi, M.; Department of Marketing, Concordia University, John Molson School of BusinessCanada",,"Emerald Group Publishing Ltd.",09590552,,,,"English","Int. J. Retail Disrtib. Manage.",Article,Scopus,2-s2.0-84929329095
"Li Y., Foo C.T.","A sociological theory of corporate finance: Societal responsibility and cost of equity in China",2015,"Chinese Management Studies","9","3",,"269","294",,,10.1108/CMS-12-2014-0232,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943252985&partnerID=40&md5=e2d593fdd4736bfb51a6990b04c2a6a9","School of Economics and Management, Beijing Jiaotong University, Beijing, China; Harbin Institute of Technology, Harbin, China; Sun Tzu Art of War Institute, Singapore","Li Y., School of Economics and Management, Beijing Jiaotong University, Beijing, China; Foo C.T., Harbin Institute of Technology, Harbin, China, Sun Tzu Art of War Institute, Singapore","Purpose – The paper aims to investigate the relationship between social responsibility and equity in China. In the process, the authors utilize data on corporate social responsibility (CSR) reports (in particular, information disclosure) and equity capital (focusing on cost). The overarching hypothesis may be phrased simply as: is CSR reporting rewarded by the capital market in China? Design/methodology/approach – The data of 3,012 list corporations in China securities are used and 1,015 CSR report quality scores (Rankins CSR Ratings) are hand-gathered from HEXUN (Web site) and utilized in the process of developing the model; financial and stock market information is obtained from the Wind database and the China Stock Market and Accounting Research database. Findings – The authors’ results suggest that overall the quality of CSR report is strongly, negatively related with the cost of capital: the higher the quality of social responsibility information disclosure, the lower the cost of equity capital. Most intriguingly, the authors find a sharp contrast between the government-owned corporations (state-owned enterprises) and privately owned, listed corporations. The quality of CSR reporting has a much higher impact in lowering the cost of equity capital for privately owned corporations. In contrasting the results for mandatory versus voluntary CSR disclosure, the quality of CSR reporting for the latter does not have any higher impact in lowering the cost of equity. Practical implications – Good social responsibility behavior by corporations and their subsequent information disclosure has beneficial financial impacts. In the authors’ research, the authors showed its immediate impact to be in the lowering of the overall corporate cost of equity. In this regard, the authors would recommend that chief executive officers pay more attention to CSR practice and its disclosure. Private firms issuing CSR reports will benefit from much lower financing costs through the capital market. Originality/value – Due to the structure of capital markets in China, the authors are able to show that CSR reporting of privately owned, listed corporations have much more effective signaling power. On the basis of the authors’ empirical findings in relation to the quality of CSR reporting and its impact on cost of capital, the authors suggest there is greater scope for research which takes a “finance and society” perspective. Based on more extensive research, such a perspective may enable scholars to orientate finance and finance research toward a model of “socio-capitalism”. © Emerald Group Publishing Limited.","Corporate social responsibility (CSR); Cost of equity; Information disclosure",,"Li, Y.; School of Economics and Management, Beijing Jiaotong UniversityChina",,"Emerald Group Publishing Ltd.",1750614X,,,,"English","Chin. Manage. Stud.",Article,Scopus,2-s2.0-84943252985
"Bögel P.M.","Processing of CSR communication: Insights from the ELM",2015,"Corporate Communications","20","2",,"128","143",,,10.1108/CCIJ-11-2013-0095,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928570741&partnerID=40&md5=41d1e2eada2b5571a3ace7c1aeab0af3","Institute of Corporate Development (ICD), Leuphana University, Lüneburg, Germany","Bögel P.M., Institute of Corporate Development (ICD), Leuphana University, Lüneburg, Germany","Purpose – Based on the elaboration likelihood model (ELM), the purpose of this paper is to examine if stakeholders with high vs low corporate social responsibility (CSR) involvement differ in their processing of CSR communication, which could influence companies to adapt their CSR communication to the different ways of processing (central route vs peripheral route). Design/methodology/approach – In this study, 107 participants received information about a fictitious company. In the first phase, participants were given initial information about the company. In the second phase, participants were given the company’s CSR newsletter. To compare the differences in information processing dependent on the CSR involvement, the sample was split at the median. Findings – The study found that dependent on their CSR involvement, people differ in their processing of CSR communication as well as in their expectations for persuasive CSR communication. Research limitations/implications – To further examine how involvement influences information processing and thus persuasion, an experimental design should be used including the manipulation of the level of involvement as well as the manipulation of ability. Practical implications – The findings suggest that CSR involvement can be used as a base for target-group specific CSR communication in order to improve communication effectiveness. Originality/value – So far, CSR communication research has often focussed on the effectiveness of communication strategies in general. In contrast, the application of the ELM offers a theoretical basis to better understand which moderator variables influences stakeholders’ processing of CSR communication and the persuasion process. © Emerald Group Publishing Limited.","CSR communication; Elaboration likelihood model; High vs low corporate social responsibility involvement; Involvement; Social responsibility; Target-group specific CSR communication",,"Bögel, P.M.; Institute of Corporate Development (ICD), Leuphana UniversityGermany",,"Emerald Group Publishing Ltd.",13563289,,,,"English","Corp. Commun.",Article,Scopus,2-s2.0-84928570741
"Cruthirds K.W., Coyle T., Velasco M.P.T., Marquez B.G.","World class logistics - South of the border: An analysis of Mexican maquiladora environmentally responsible practices",2015,"International Journal of Productivity and Quality Management","15","3",,"285","308",,,10.1504/IJPQM.2015.068471,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926506046&partnerID=40&md5=99b21d92f1a90ab320cf48cb13942c8d","University of Texas at Brownsville, Brownsville, TX, United States; Instituto de Ciencias Sociales Y Humanidades, Universidad Tecnológica de la Mixteca, Km. 2.5 Carretera, Huajuapan-Acatlima, Mexico; Albea Cosmetics America, 4649 Towerwood Dr., Brownsville, TX, United States","Cruthirds K.W., University of Texas at Brownsville, Brownsville, TX, United States; Coyle T., University of Texas at Brownsville, Brownsville, TX, United States; Velasco M.P.T., Instituto de Ciencias Sociales Y Humanidades, Universidad Tecnológica de la Mixteca, Km. 2.5 Carretera, Huajuapan-Acatlima, Mexico; Marquez B.G., Albea Cosmetics America, 4649 Towerwood Dr., Brownsville, TX, United States","This research is an analysis of Mexican maquiladoras' (factories in a free trade zone) status toward achieving world class logistics. The hypotheses are predictors of these firms' adaptation toward environmentally-responsible logistics using the typology of positioning, integration, ability and measurement. Statistical testing uses a survey of Mexican maquiladora manufacturing firms from central Mexico and the Texas-Mexico border. The results of the updated literature and statistical testing suggest several conclusions. First, the findings demonstrate that environmentally-responsible logistics (ERL) is a key component of logistics performance in Mexico. The implication is that ERL is not restricted to select countries but is spreading across borders. Second, this research provides a reliable scale for use in Spanish-speaking countries enabling research in most of Latin America. Third, at least two components should be added to the framework construction, corporate social responsibility and reverse logistics. Copyright © 2015 Inderscience Enterprises Ltd.","Corporate social responsibility; Csr; Environmentally-responsible logistics; ERL; Green logistics; Green manufacturing; Logistics planning; Maquiladora; Mexico; NAFTA; North American free trade agreement; Productivity; Quality; Reverse logistics; Sustainability; World class logistics",,"Cruthirds, K.W.; University of Texas at BrownsvilleUnited States",,"Inderscience Enterprises Ltd.",17466474,,,,"English","Int. J. Prod. Qual. Manage.",Article,Scopus,2-s2.0-84926506046
