Authors,Title,Year,Link,Abstract,Author Keywords,Index Keywords
"Aguilera-Caracuel J., Delgado-Márquez B.L., Vidal-Salazar M.D.","The influence of internationalization on firm corporate social performance [Influencia de la internacionalización en el desempeño social de las empresas]",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919647870&partnerID=40&md5=a2c85a09bd6e457bcd72d2b1ff998ce0","Recently, previous literature has paid special attention to study the relationship between firm internationalization and corporate social responsibility. In this research we examine the impact of internationalization on corporate social performance. Using a sample of 102 U.S. firms from the chemical, energy and industrial machinery industries, our results show that not all the dimensions of internationalization lead firms to enhance their level of social performance. Specifically, we can see that, whereas percentage of sales in foreign markets and cultural international diversification help firms to improve their level of social performance (complying with the different stakeholders' social needs in each country where they operate), geographical international diversification is not related to corporate social performance. Thus, the number of geographical areas is not an important issue, but the degree of cultural international diversification between these areas what really influences firms' corporate social performance. We discuss important implications for academia, managers and policy-makers as well.","Chemical industry; Energetic industry; Geographical and cultural international diversification; Industrial machinery industry; Panel data analysis; U.S. firms",
"Sesma J., Husted B., Banks J.","Measuring corporate social performance through social media [La medición del desempeño social empresarial a través de las redes sociales]",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925011936&partnerID=40&md5=213705620e0d00fa83599c6afb4ebb6d","Corporate social performance (CSP) has been studied extensively by management scholars, yet most approaches to its measurement continue to be ambiguous, controversial and difficult to research. In this paper, we propose measuring CSP via the construct of stakeholder satisfaction through social media. Using organizational justice theory, we argue that the satisfaction of stakeholder expectations can be understood partly through the perception of unjust corporate behavior, which is then expressed by stakeholders through social media. The explosion of social networking and microblogging has made it possible for people to express opinions with respect to the economic, social, and environmental events for all sorts of firms. We test these ideas using event study methods with a sample of 5,440 observations from ten firms. We find preliminary evidence of the sensitivity of social media to these events.","Corporate social performance; Event study; Sentiment analysis; Social media; Stakeholder",
"Huang S.K., Yang C.-L.","Corporate social performance: Why it matters? Case of Taiwan",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84912139526&partnerID=40&md5=938e1f5df7f5907a3af7455279f8b13b","Purpose: The objective of this article is to explore the relationship between corporate social performance (CSP) and corporate financial performance (CFP) of firms in Taiwan, as the empirical evidence of Taiwan firms is scarce.Design/methodology/approach: This paper studies the empirical relation between CSP and CFP using a sample of 71 Taiwan-based companies during 2005-2011. CSP data are a composite of two Taiwan’s CSP ratings, and CFP data are retrieved from Taiwan Economic Journal database. Two control variables, R&D investment (R&D) and industry type (IND), are included in our models. The multiple regression is used as a statistical analysis tool.Findings: Our findings indicate a significantly positive CSP–CFP relationship of firms in Taiwan. Furthermore, our study reveals that the CSP in the non-manufacturing sector is more highly related with CFP than the case in the manufacturing sector in Taiwan.Originality/value: First, Our findings are consistent with the majority of recent research and are supported by the stakeholder theory. The paper argues that Taiwan firms should incorporate CSP into their business strategies for improving their competitive advantages. Second, our findings argue that Taiwan firms in the manufacturing sector should learn the best CSP practices from firms in the non-manufacturing sector to maintain and enhance their sustainability. Third, this paper extends the subject study of Taiwan scenario, and it is the first paper combining two CSP local ratings as the proxy for the CSP measure. © Emerald Group Publishing Limited.","Corporate financial performance; Corporate social performance; Corporate social responsibility",
"Siltaoja M.E.","Revising the corporate social performance model - Towards knowledge creation for sustainable development",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904984250&partnerID=40&md5=febe3dc715011873943a60a57379ccab","The objective of this paper is to offer a revision of the corporate social performance (CSP) model. CSP exemplifies how corporate social responsibility translates into an organization's practice by focusing on three key features of performance: principles, processes and outcomes. However, the development of the model has not kept pace with the literature on social and environmental responsibility. This study builds on an argument that if corporate social responsibility in general - in which CSP plays an important role - is to respond to the challenges of sustainable development, the CSP of businesses could be more profoundly planned in order to design knowledge outcomes that contribute to meeting those challenges. The paper thus answers the recent call for the development of a CSP model by revising some of the key elements in the existing model and also by adding a knowledge creation dimension. © 2013 John Wiley & Sons, Ltd and ERP Environment.","Corporate social performance (CSP); Corporate social responsibility (CSR); Knowledge creation; Knowledge management; Private knowledge; Public knowledge; Sustainable development","corporate strategy; environmental economics; knowledge; management practice; organizational framework; performance assessment; social development; sustainable development"
"Zhang M., Di Fan D., Zhu C.J.","High-Performance Work Systems, Corporate Social Performance and Employee Outcomes: Exploring the Missing Links",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896401135&partnerID=40&md5=666b0d8eef14d9803e211ce5b12053ae","High-performance work systems (HPWS)-performance research has dominated innovative human resource management studies for two decades. However, mainstream HPWS research has paid little attention to employees' perceptions of HPWS, or to the relationship between HPWS and corporate social performance (CSP). The influence of CSP on employee outcomes such as organizational commitment and organizational citizenship behaviour (OCB) has thus been similarly neglected. This paper seeks to investigate these missing links in literature using data collected from a sample of 700 employees in China. The findings demonstrate that HPWS is positively related to HPWS satisfaction and employees' perceptions of CSP. HPWS satisfaction fully mediates the relationship between HPWS and employees' affective commitment (AC). There are multiple mediators between HPWS and OCB, indicating more complicated mechanisms through which HPWS leads to desired HR outcomes. Employees' perceived CSP has a significant influence on HPWS satisfaction, AC and OCB, suggesting firms should place a premium on achieving a reputation as being socially responsible. © 2013 Springer Science+Business Media Dordrecht.","China; Corporate social performance; Employee outcomes; HPWS; HPWS satisfaction",
"Zhang M., Ma L., Su J., Zhang W.","Do Suppliers Applaud Corporate Social Performance?",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901666442&partnerID=40&md5=f15b703029f2705879d4537ad35d2670","The influence of corporate social performance (CSP) on stakeholders is one of the focal issues in corporate social responsibility (CSR) research. Using data of listed companies in China, this paper examines whether CSR behavior in the form of charitable donations garners a positive reaction from suppliers. Results derived from both level and change model regressions show that superior CSP makes it easier for a firm to obtain trade credit from suppliers, although the effect is significant only in non-state-owned enterprises (non-SOEs). The results are robust to various measures of CSP and endogeneity tests. The results support the strategic philanthropy view and apply stakeholder theory in supply chain, that strategic CSR can help firms to attract suppliers and consolidate cooperative relationships with them, which in turn benefits the firms in terms of more trade credit financing from suppliers. This paper also shows that state-owned enterprises and non-SOEs have different CSR intentions and use CSR to achieve strategic goals in different ways. The conclusions drawn from this study provide practical guidance on CSR strategy, suggesting that CSR activities can help a firm in transition economies to enhance its corporate image, establish and consolidate the good relationship with suppliers, and obtain economic benefits or achieve long-term business objectives. © 2013 Springer Science+Business Media Dordrecht.","Corporate social performance; Corporate social responsibility; Stakeholders; Suppliers; Trade credit",
"Ahmed S.U., Islam Z., Mahtab H., Hasan I.","Institutional investment and corporate social performance: Linkage towards sustainable development",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892498515&partnerID=40&md5=595b5fbd81e84dcb96aa8bca62d6534f","This study examines the relationship between institutional investment (II) and corporate social performance (CSP) of public listed companies (PLCs) in Bangladesh using cross-sectional data. The sample includes 152 firms as listed in Dhaka Stock Exchange (DSE). Structured questionnaires, annual reports, CSR reports, websites, regulatory notifications, and newspaper articles were used for data collection. The results of the study indicate that CSP has a positive but insignificant relationship with institutional investment in Bangladesh. This would also improve the investment climate by encouraging the institutional investors to make their investment decisions based on long-term sustainability. To the best of our knowledge, the paper investigates, for the first time, the linkage between institutional investment and CSP in the context of a developing country like Bangladesh. In the process, this paper attempts to develop the first known comprehensive CSP Index in the context of Bangladesh. © 2012 John Wiley & Sons, Ltd and ERP Environment.","Bangladesh; Corporate social performance; Institutional investment; Sustainable development",
"Koh P.-S., Qian C., Wang H.","Firm litigation risk and the insurance value of corporate social performance",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906784218&partnerID=40&md5=dfc4e6de83959f5fc274412784af2138","This paper advances the risk management perspective that superior social performance enhances firm value by serving as an ex ante valuable insurance mechanism. We posit that good social performance is more valuable as an insurance mechanism for firms with higher litigation risks. Moreover, value generation of corporate social performance (CSP) depends on whether a firm has gained pragmatic legitimacy (i.e., a firm's financial health) and moral legitimacy (i.e., whether or not a firm operates in a socially contested industry) among its stakeholders. We find that the value of CSP as insurance against litigation risk is practically significant, adding 2 to 4 percent to firm value. But CSP is less likely to create value if the firm is in financial distress or is operating in socially contested industries. Copyright © 2013 John Wiley & Sons, Ltd. Copyright © 2013 John Wiley & Sons, Ltd.","corporate social performance; firm valuation models; insurance value; legitimacy; risk management","Insurance; Risk management; Corporate social performance; Financial distress; Financial health; Firm valuations; Firm value; Insurance mechanisms; legitimacy; Social performance; Laws and legislation"
"Ketola T.","Rationale, Morals, and Needs Pyramid for Corporate Responsibility Development",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905059767&partnerID=40&md5=abef305a94e681edfc80b6c48e77e5dc","This paper builds and tests a RaMoNe pyramid with three dimensions: rationale, morals and needs. The pyramid maps out where companies currently stand in corporate responsibility (CR) and why; and why they should change and how. The conscious economic rationale of companies has led to choices between five levels of CR, demonstrated by an earlier paper in this journal. These alternatives exemplify preconscious levels of moral development, but the highest level, virtue ethical behaviour, has not so far had its counterpart in CR. There are subconscious needs behind the rationale and morals, but the highest level, self-transcendence needs, has not yet had its match in CR. The conceptual part of this research develops the sixth level of CR to match the virtue ethical behaviour and self-transcendence needs. The RaMoNe pyramid is tested in four food sector companies, thereby building a model on a case study previously published in this journal. © 2013 John Wiley & Sons, Ltd and ERP Environment.","Business ethics; Corporate responsibility; Food sector; Management; Morals; Needs; Psychology; Sustainable development",
"Piatti D.","Corporate social performance and social disclosure: Evidence from italian mutual banks",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921533367&partnerID=40&md5=df42de090a0f969672258e8f6b66f002","The social report is a tool with which Social Disclosure can be attempted. However, it may become merely a communication of the fulfilment of a series of requirements. From this perspective, this study seeks to verify, with reference to the Italian Mutual Banks, whether the intensity of Social Disclosure (SD) is indeed representative of social responsibility. The aim is therefore twofold: on the one hand, the intention is to estimate the intensity of SD by measuring the extent to which the social reports of a sample of 57 mutual banks comply with GRI guidelines; and on the other, to test the relationship between social-environmental and financial performance and the intensity of SD. The analysis shows that SD intensity is closely linked to the quality of social reports. Some categories, such as corporate identity, membership and community, exhibit high levels of disclosure whilst for other categories, like the environment, there is a lack of a coherent and unitary plan. Moreover, the degree of SD intensity does not appear to be completely represented into actual social-environmental performance and this confirms the shortcomings of the use of SD as a proxy for Corporate Social Performance.",,
"Amaral Lauriano L., Spitzeck H., Henrique Dutra Bueno J.","The state of corporate citizenship in Brazil",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84915786274&partnerID=40&md5=2aba35ce3bbb6cee3c585401c873aef0","Purpose – This paper aims to present the state of corporate citizenship in Brazil.Design/methodology/approach – The results of a survey of Brazilian companies is used to analyze the state of corporate citizenship in Brazil. The survey was constructed using the methodology developed by Mirvis & Googins on measuring the stage of corporate citizenship, and 172 valid responses from Brazilian companies were received.Findings – Data suggest that Brazilian companies have an advanced understanding of corporate citizenship and the strategic intention to integrate citizenship into their business. When it comes to leadership, structures, issue management, stakeholder relationships and transparency, however, their maturity in terms of citizenship stays in less advanced stages. In sum, Brazilian companies are advanced in the concept but less developed in the practice of corporate citizenship.Research limitations/implications – The sample consists of 172 valid responses from companies in Brazil acting in various sectors and thus does not allow the determination of citizenship maturity in selected sectors.Practical implications – The research points to a gap regarding understanding and practice in corporate citizenship in Brazil. To foster evolution of corporate citizenship, Brazilian companies are advised to work especially on leadership engagement, organizational structures, issue management, stakeholder relationships and transparency.Originality/value – This is the first study about the maturity of corporate citizenship in Brazilian companies. © Emerald Group Publishing Limited.","Brazil; Corporate citizenship; Corporate social responsibility; Maturity; Sustainability",
"Tsai Y.-H., Joe S.-W., Lin C.-P., Wang R.-T.","Modeling Job Pursuit Intention: Moderating Mechanisms of Socio-Environmental Consciousness",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911950846&partnerID=40&md5=b97c29512734fb2bc97c0acf669d6f2c","Many scholars have suggested the relationship between corporate social performance and its ability to attract a large number of high-quality job applicants, because previous literature indicates that employees with strong social awareness help create a high-performance organization. For that reason, an important issue for successful business recruitment is how to boost the pursuit intention of job seekers. This study discusses such issue by proposing a model based on signaling theory and cognitive dissonance theory. In the proposed model of this study, the positive relationships between four dimensions of corporate social performance and job pursuit intention are hypothetically moderated by socio-environmental consciousness. The proposed hypotheses of this research were empirically tested using the data from graduating students seeking a job. The empirical findings of this study complement previous literature by discussing how corporate social performance benefits business firms from a perspective of strengthened human resources and recruitment. Finally, managerial implications for business managers based on the findings herein are provided. © 2013, Springer Science+Business Media Dordrecht.","Cognitive dissonance theory; Corporate social performance; Discretionary citizenship; Ethical citizenship",
"Vlachos P.A., Panagopoulos N.G., Theotokis A., Singh R., Singh R.K.","When do corporate social responsibility initiatives impact on customer-facing employees? Evidence from India and the Netherlands",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911006126&partnerID=40&md5=f3cd6b6a12301360bb33692f3e4dd981","The vast majority of the extant literature on corporate social responsibility (CSR) has focused on the macro (firm) level of analysis by examining the linkage between CSR and firm-level outcomes. As such, very few studies have focused on the micro (individual) level of analysis. Against this backdrop, the present study focuses on the individual level of analysis thereby contributing to the emerging psychology of CSR literature, which considers employees' perceptions of their employing organizations' social actions as more important than organizations' objective CSR performance (Rupp, Shao, Thornton and Skarlicki (2013), ‘Applicants’ and Employees’ Reactions to Corporate Social Responsibility: The Moderating Effects of First-Party Justice Perceptions and Moral Identity,’ Personnel Psychology, 66, 895–933). Moreover, the study is one of the first examining the role of context in employee attitudes toward CSR. In particular, it builds on the psychology of CSR (e.g. Rupp et al. 2013) literature to propose a research framework that delineates the moderating effects of satisfaction with payment, satisfaction with the job itself and individualism in the relationship between corporate social performance (CSP) perceptions and customer-facing employees' behavioral outcomes. Data are collected from customer-facing employees in two major organizations in the Netherlands and India. Results suggest a complex interplay between CSP perceptions and the two facets of job satisfaction, and that national context is likely to moderate the contingent effects of CSP perceptions on customer-facing employees' behavioral outcomes. © 2014, Taylor & Francis.","corporate social performance; corporate social responsibility; cross-national; customer-facing employees; job satisfaction; salespeople",
"Callan S.J., Thomas J.M.","Relating CEO Compensation to Social Performance and Financial Performance: Does the Measure of Compensation Matter?",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905051164&partnerID=40&md5=88bdf88c1226f583a1a2b3087ed92987","Remuneration to executives has risen sharply, even during the recent economic decline and financial crisis, giving rise to public outcries and harsh criticism. At the same time, there has been a shift toward more performance-based remuneration, which is generally awarded over the long term. Coincident with these observations is an evolving literature aimed at studying executive pay and its determinants to learn if a pay-for-performance link exists. Although most studies focus on corporate financial performance (CFP) as a compensation determinant, which is based on shareholder theory, others broaden performance to include activities linked to corporate social responsibility (CSR), which relies on stakeholder theory. In this latter case, a nexus is identified between the pay-for-performance relationship and that between CFP and corporate social performance (CSP). In this research, we use a system of equations to form this connection and examine the influence of short-term versus long-term compensation measures on the resulting interrelationships. © 2012 John Wiley & Sons, Ltd and ERP Environment.","Agency theory; Corporate financial performance (CFP); Corporate social performance (CSP); Corporate social responsibility (CSR); Executive compensation; Pay-for-performance; Stakeholder theory",
"Peppas S.C., Ruiz C.E., Peppas S.R., Yu T.T.","Business ethics: A cross-cultural comparison of Mexico and the USA",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946184059&partnerID=40&md5=d67ae1a3184d78988c7b203629f7f9d5","This empirical study examines the attitudes of undergraduate and graduate business students in Mexico and the USA to determine if they share similar attitudes with regard to business ethics. Tests of significance were used to determine that there were significant differences between the two groups in terms of their attitudes toward specific ethics value statements and perceived consequences of an ethics code. The findings provide useful information in helping the people of these two nations better understand each other and should prove especially useful to those concerned with the increasingly important issue of ethics in business operations. Copyright © 2014 Inderscience Enterprises Ltd.","Business ethics; Codes of ethics; Corporate responsibility; Cross-cultural; Ethics courses; Mexico; USA",
"Eskerod P., Vaagaasar A.L.","Stakeholder management strategies and practices during a project course",2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907978404&partnerID=40&md5=5f8055c99aedca3022ebdc3f95aa23c4","In stakeholder management, a key question is: How can an actor/organization (e.g., a project) under different contingencies apply strategies to develop the relationship with each stakeholder into a favorable one seen from the focal organization's perspective? Based on an in-depth longitudinal case study, we provide detailed descriptions of how a project management team worked with its stakeholder relationships. Applying a practice approach, we explore how stakeholder management practices emerged and evolved as embedded actions and interpretations related to perceptions of each stakeholder's harm and help potentials. We show how trust was both input to and outcomes of the managerial action. © 2014 by the Project Management Institute.","case study; development project; help and harm potentials; practice approach; stakeholder management strategies; stakeholder theory; trust",
